date,value
2016-01-04,103.056663743138
2016-01-05,100.474133204155
2016-01-06,98.5078883619741
2016-01-07,94.350405486717
2016-01-08,94.8493034317478
2016-01-11,96.3851265174311
2016-01-12,97.783997226047
2016-01-13,95.2699428755974
2016-01-14,97.3535754695498
2016-01-15,95.0156027467581
2016-01-19,94.5558340523179
2016-01-20,94.6830041167376
2016-01-21,94.203670797002
2016-01-22,99.2122148726059
2016-01-25,97.2753169683685
2016-01-26,97.81334416399
2016-01-27,91.3863647544749
2016-01-28,92.0417797018684
2016-01-29,95.2210313123591
